"RequirementId","Scope","Requirement","SourceFile","SourceLine","SourceRevision","Status","ArtifactSha256","Environment","Procedure","TerminalResult","EvidenceLocation","Limitations","SourceFileSha256","EnvironmentAmendment","OriginalRequirement","OriginalProcedure","ParentRequirementId","RowKind","PreviewDisposition","PreviewEvidence"
"T05","aggregate","Implement recovery/device cryptography and fixed vectors.","docs/verification/v1-master-plan-audit.md","76","86f5f37343978351f1d0cb1e13e28ce9c91a8ffd","unknown","","","Reconcile child rows independently; original requirement and historical procedure are preserved. No aggregate pass while an applicable child is open.","","[crypto implementation](../../crates/core/src/crypto.rs), [pairing evidence](task-17-pairing.md), [recovery evidence](task-17-recovery-enrollment.md)","Historical audit status: verified; current final-source installed/hosted acceptance not established.","56c050813a056fce730204472d5000e7498189b9a31dcb381ac3c26cbb02b3de","September14: only physical PC, dedicated fresh Windows test-user profiles; no VMs/ISO. Clean-OS and independent-host limitations remain open.","Implement recovery/device cryptography and fixed vectors.","Repeat vectors and secret-lifetime checks on supported Windows and macOS release machines.","","aggregate","aggregate-reconcile-children","windows-preview-readiness-2026-09-20.md; historical Status is retained, not promoted by component tests"
"T05-WS","Windows/shared","Windows/shared unpaid portion: Implement recovery/device cryptography and fixed vectors.","docs/verification/v1-master-plan-audit.md","76","86f5f37343978351f1d0cb1e13e28ce9c91a8ffd","unknown","9c578ec21265562235c4a07b36cc3f376299922107e22d652529ff79bb6fd2bb","Windows 11 x64 physical-PC component harness; Rust 1.97.1; local fixtures and isolated Cargo target. Task2 report preserves earlier source stages; final reviewed source is commit 924348a36900e89df6bc8b41fa6162127c24b8b3. Task3 source/component tests ran on this Windows 11 x64 physical-PC development workspace with isolated Cargo target and local/injected providers; no installed candidate, clean-OS profile or live hosted provider was exercised.","Execute the scoped Windows x64 and shared checks on the exact final source/candidate. Record commands or manual steps, environment, terminal results and limitations; historical results are pointers only.","Component partial: recovery V1 13/13, rotated-claim V2 1/1, daemon recovery 6/6, and historical reconstruction 22/22; recorded commands exited 0. Task3 component: strict historical crypto/reconstruction passed 22/22 and full V2 recovery integration passed 1/1; both commands exited 0.","[crypto implementation](../../crates/core/src/crypto.rs), [pairing evidence](task-17-pairing.md), [recovery evidence](task-17-recovery-enrollment.md), [Task2 final component checkpoint](pr16-windows-shared-execution-2026-09-14.md#durable-recovery-correction--final-component-checkpoint), [Task2 committed source identity](pr16-durable-recovery-source-2026-09-14.json), [Task3 explicit recovery history component checkpoint](pr16-windows-shared-execution-2026-09-14.md#task3-explicit-history-final-component), [Task3 committed source identity](pr16-history-selection-source-2026-09-14.json)","Required and open. Fresh-profile physical-PC checks cannot establish clean-OS or independent-host behavior. Other scopes have separately statused sibling rows. Task2 component evidence attached; fixed-vector equality on installed supported Windows and cross-platform release machines remains open. Task3 adds recovery-history component proof only; fixed-vector equality on final installed supported machines and cross-platform release candidates remains open.","56c050813a056fce730204472d5000e7498189b9a31dcb381ac3c26cbb02b3de","September14: only physical PC, dedicated fresh Windows test-user profiles; no VMs/ISO. Clean-OS and independent-host limitations remain open.","Implement recovery/device cryptography and fixed vectors.","Repeat vectors and secret-lifetime checks on supported Windows and macOS release machines.","T05","execution","required-open","windows-preview-readiness-2026-09-20.md; historical Status is retained, not promoted by component tests"
"T05-APPLE","Apple","Apple implementation/qualification portion: Implement recovery/device cryptography and fixed vectors.","docs/verification/v1-master-plan-audit.md","76","86f5f37343978351f1d0cb1e13e28ce9c91a8ffd","deferred","","","Deferred by explicit user decision; preserve existing evidence and perform no new Apple work.","","[crypto implementation](../../crates/core/src/crypto.rs), [pairing evidence](task-17-pairing.md), [recovery evidence](task-17-recovery-enrollment.md)","Explicit user Apple deferral; not passed. Shared and Windows work remains in sibling rows.","56c050813a056fce730204472d5000e7498189b9a31dcb381ac3c26cbb02b3de","September14: only physical PC, dedicated fresh Windows test-user profiles; no VMs/ISO. Clean-OS and independent-host limitations remain open.","Implement recovery/device cryptography and fixed vectors.","Repeat vectors and secret-lifetime checks on supported Windows and macOS release machines.","T05","execution","excluded-preview","windows-preview-readiness-2026-09-20.md; historical Status is retained, not promoted by component tests"
"T06","aggregate","Provide a SQLCipher vault and local hybrid search.","docs/verification/v1-master-plan-audit.md","77","86f5f37343978351f1d0cb1e13e28ce9c91a8ffd","unknown","","","Reconcile child rows independently; original requirement and historical procedure are preserved. No aggregate pass while an applicable child is open.","","[vault implementation](../../crates/core/src/vault.rs), [search implementation](../../crates/core/src/search.rs), [real-model search qualification](semantic-search-2026-09-07.md), [Tasks 1–10 ledger](tasks-1-10.md)","Historical audit status: partial; current final-source installed/hosted acceptance not established.","56c050813a056fce730204472d5000e7498189b9a31dcb381ac3c26cbb02b3de","September14: only physical PC, dedicated fresh Windows test-user profiles; no VMs/ISO. Clean-OS and independent-host limitations remain open.","Provide a SQLCipher vault and local hybrid search.","Windows production BGE/runtime loading, failure/reinitialization and disposable authenticated service checks are recorded in [Windows search packaging](windows-search-packaging-2026-09-07.md). [macOS runtime inputs](../../crates/core/models/onnxruntime-osx-arm64-1.24.2/README.md) are pinned and stage-verified. The guarded macOS loader and final signing/inference pipeline passed native job 103552389709 at cce0772. Physical-app resource discovery and disposable daemon recovery qualification passed native macOS job 103555264457 at b59551f. Complete both-platform installed performance and credential-loss gates. Component and injected-vector timings do not qualify clean-machine acceptance.","","aggregate","aggregate-reconcile-children","windows-preview-readiness-2026-09-20.md; historical Status is retained, not promoted by component tests"
"T06-WS","Windows/shared","Windows/shared unpaid portion: Provide a SQLCipher vault and local hybrid search.","docs/verification/v1-master-plan-audit.md","77","86f5f37343978351f1d0cb1e13e28ce9c91a8ffd","unknown","","Task3 source/component tests ran on this Windows 11 x64 physical-PC development workspace with isolated Cargo target and local/injected providers; no installed candidate, clean-OS profile or live hosted provider was exercised.","Execute the scoped Windows x64 and shared checks on the exact final source/candidate. Record commands or manual steps, environment, terminal results and limitations; historical results are pointers only.","Task3 component: actual routed Resume restored signed Memory and Instruction records, persisted embeddings, returned both records from local search and remained Complete after reopen; 1/1 passed, exit 0.","[vault implementation](../../crates/core/src/vault.rs), [search implementation](../../crates/core/src/search.rs), [real-model search qualification](semantic-search-2026-09-07.md), [Tasks 1–10 ledger](tasks-1-10.md), [Task3 explicit recovery history component checkpoint](pr16-windows-shared-execution-2026-09-14.md#task3-explicit-history-final-component), [Task3 committed source identity](pr16-history-selection-source-2026-09-14.json)","Required and open. Fresh-profile physical-PC checks cannot establish clean-OS or independent-host behavior. Other scopes have separately statused sibling rows. This is a local lexical embedding/search component test, not installed SQLCipher-vault qualification, plaintext inspection, real-model quality/performance qualification or full hybrid-search acceptance.","56c050813a056fce730204472d5000e7498189b9a31dcb381ac3c26cbb02b3de","September14: only physical PC, dedicated fresh Windows test-user profiles; no VMs/ISO. Clean-OS and independent-host limitations remain open.","Provide a SQLCipher vault and local hybrid search.","Windows production BGE/runtime loading, failure/reinitialization and disposable authenticated service checks are recorded in [Windows search packaging](windows-search-packaging-2026-09-07.md). [macOS runtime inputs](../../crates/core/models/onnxruntime-osx-arm64-1.24.2/README.md) are pinned and stage-verified. The guarded macOS loader and final signing/inference pipeline passed native job 103552389709 at cce0772. Physical-app resource discovery and disposable daemon recovery qualification passed native macOS job 103555264457 at b59551f. Complete both-platform installed performance and credential-loss gates. Component and injected-vector timings do not qualify clean-machine acceptance.","T06","execution","required-open","windows-preview-readiness-2026-09-20.md; historical Status is retained, not promoted by component tests"
"T06-APPLE","Apple","Apple implementation/qualification portion: Provide a SQLCipher vault and local hybrid search.","docs/verification/v1-master-plan-audit.md","77","86f5f37343978351f1d0cb1e13e28ce9c91a8ffd","deferred","","","Deferred by explicit user decision; preserve existing evidence and perform no new Apple work.","","[vault implementation](../../crates/core/src/vault.rs), [search implementation](../../crates/core/src/search.rs), [real-model search qualification](semantic-search-2026-09-07.md), [Tasks 1–10 ledger](tasks-1-10.md)","Explicit user Apple deferral; not passed. Shared and Windows work remains in sibling rows.","56c050813a056fce730204472d5000e7498189b9a31dcb381ac3c26cbb02b3de","September14: only physical PC, dedicated fresh Windows test-user profiles; no VMs/ISO. Clean-OS and independent-host limitations remain open.","Provide a SQLCipher vault and local hybrid search.","Windows production BGE/runtime loading, failure/reinitialization and disposable authenticated service checks are recorded in [Windows search packaging](windows-search-packaging-2026-09-07.md). [macOS runtime inputs](../../crates/core/models/onnxruntime-osx-arm64-1.24.2/README.md) are pinned and stage-verified. The guarded macOS loader and final signing/inference pipeline passed native job 103552389709 at cce0772. Physical-app resource discovery and disposable daemon recovery qualification passed native macOS job 103555264457 at b59551f. Complete both-platform installed performance and credential-loss gates. Component and injected-vector timings do not qualify clean-machine acceptance.","T06","execution","excluded-preview","windows-preview-readiness-2026-09-20.md; historical Status is retained, not promoted by component tests"
"T07","aggregate","Run one daemon writer behind authenticated per-user local IPC.","docs/verification/v1-master-plan-audit.md","78","86f5f37343978351f1d0cb1e13e28ce9c91a8ffd","unknown","","","Reconcile child rows independently; original requirement and historical procedure are preserved. No aggregate pass while an applicable child is open.","","[daemon](../../crates/contextd/src/lib.rs), [local IPC](../../crates/local-ipc/src/lib.rs), [Task 14 evidence](task-14.md), [Windows concurrency repair](pr-12-stabilization.md#windows-follow-up-2026-08-31)","Historical audit status: partial; current final-source installed/hosted acceptance not established.","56c050813a056fce730204472d5000e7498189b9a31dcb381ac3c26cbb02b3de","September14: only physical PC, dedicated fresh Windows test-user profiles; no VMs/ISO. Clean-OS and independent-host limitations remain open.","Run one daemon writer behind authenticated per-user local IPC.","Pass the repaired busy-pipe and 64-call/cancellation gates in Windows CI, then repeat cross-user denial, crash/restart, and 8 MiB frame gates on physical Windows and macOS.","","aggregate","aggregate-reconcile-children","windows-preview-readiness-2026-09-20.md; historical Status is retained, not promoted by component tests"
"T07-WS","Windows/shared","Windows/shared unpaid portion: Run one daemon writer behind authenticated per-user local IPC.","docs/verification/v1-master-plan-audit.md","78","86f5f37343978351f1d0cb1e13e28ce9c91a8ffd","unknown","","Task3 source/component tests ran on this Windows 11 x64 physical-PC development workspace with isolated Cargo target and local/injected providers; no installed candidate, clean-OS profile or live hosted provider was exercised.","Execute the scoped Windows x64 and shared checks on the exact final source/candidate. Record commands or manual steps, environment, terminal results and limitations; historical results are pointers only.","Task3 component: daemon recovery role and routing checks exited 0; local IPC passed 69 unit, 1 parity and 26 integration tests with 3 fixture helpers ignored; native binary passed 20/20.","[daemon](../../crates/contextd/src/lib.rs), [local IPC](../../crates/local-ipc/src/lib.rs), [Task 14 evidence](task-14.md), [Windows concurrency repair](pr-12-stabilization.md#windows-follow-up-2026-08-31), [Task3 explicit recovery history component checkpoint](pr16-windows-shared-execution-2026-09-14.md#task3-explicit-history-final-component), [Task3 committed source identity](pr16-history-selection-source-2026-09-14.json)","Required and open. Fresh-profile physical-PC checks cannot establish clean-OS or independent-host behavior. Other scopes have separately statused sibling rows. These are source/component tests on the current physical PC; they do not establish one installed service instance, separate-profile cross-user denial, installed token ownership or full daemon lifecycle acceptance.","56c050813a056fce730204472d5000e7498189b9a31dcb381ac3c26cbb02b3de","September14: only physical PC, dedicated fresh Windows test-user profiles; no VMs/ISO. Clean-OS and independent-host limitations remain open.","Run one daemon writer behind authenticated per-user local IPC.","Pass the repaired busy-pipe and 64-call/cancellation gates in Windows CI, then repeat cross-user denial, crash/restart, and 8 MiB frame gates on physical Windows and macOS.","T07","execution","required-open","windows-preview-readiness-2026-09-20.md; historical Status is retained, not promoted by component tests"
"T07-APPLE","Apple","Apple implementation/qualification portion: Run one daemon writer behind authenticated per-user local IPC.","docs/verification/v1-master-plan-audit.md","78","86f5f37343978351f1d0cb1e13e28ce9c91a8ffd","deferred","","","Deferred by explicit user decision; preserve existing evidence and perform no new Apple work.","","[daemon](../../crates/contextd/src/lib.rs), [local IPC](../../crates/local-ipc/src/lib.rs), [Task 14 evidence](task-14.md), [Windows concurrency repair](pr-12-stabilization.md#windows-follow-up-2026-08-31)","Explicit user Apple deferral; not passed. Shared and Windows work remains in sibling rows.","56c050813a056fce730204472d5000e7498189b9a31dcb381ac3c26cbb02b3de","September14: only physical PC, dedicated fresh Windows test-user profiles; no VMs/ISO. Clean-OS and independent-host limitations remain open.","Run one daemon writer behind authenticated per-user local IPC.","Pass the repaired busy-pipe and 64-call/cancellation gates in Windows CI, then repeat cross-user denial, crash/restart, and 8 MiB frame gates on physical Windows and macOS.","T07","execution","excluded-preview","windows-preview-readiness-2026-09-20.md; historical Status is retained, not promoted by component tests"
"T08","aggregate","Deliver the complete offline desktop workspace.","docs/verification/v1-master-plan-audit.md","79","86f5f37343978351f1d0cb1e13e28ce9c91a8ffd","unknown","","","Reconcile child rows independently; original requirement and historical procedure are preserved. No aggregate pass while an applicable child is open.","","[desktop](../../apps/desktop/src/App.tsx), [offline tests](../../apps/desktop/src/offline-workflow.test.tsx), [Tasks 1–10 ledger](tasks-1-10.md)","Historical audit status: verified; current final-source installed/hosted acceptance not established.","56c050813a056fce730204472d5000e7498189b9a31dcb381ac3c26cbb02b3de","September14: only physical PC, dedicated fresh Windows test-user profiles; no VMs/ISO. Clean-OS and independent-host limitations remain open.","Deliver the complete offline desktop workspace.","Perform physical keyboard, screen-reader, renderer-plaintext, and network-disabled acceptance on both platforms.","","aggregate","aggregate-reconcile-children","windows-preview-readiness-2026-09-20.md; historical Status is retained, not promoted by component tests"
"T08-WS","Windows/shared","Windows/shared unpaid portion: Deliver the complete offline desktop workspace.","docs/verification/v1-master-plan-audit.md","79","86f5f37343978351f1d0cb1e13e28ce9c91a8ffd","unknown","","Task3 source/component tests ran on this Windows 11 x64 physical-PC development workspace with isolated Cargo target and local/injected providers; no installed candidate, clean-OS profile or live hosted provider was exercised.","Execute the scoped Windows x64 and shared checks on the exact final source/candidate. Record commands or manual steps, environment, terminal results and limitations; historical results are pointers only.","Task3 component: focused recovery desktop/protocol/gateway suite passed 42/42 across 3 files and the native desktop binary passed 20/20; exits 0.","[desktop](../../apps/desktop/src/App.tsx), [offline tests](../../apps/desktop/src/offline-workflow.test.tsx), [Tasks 1–10 ledger](tasks-1-10.md), [Task3 explicit recovery history component checkpoint](pr16-windows-shared-execution-2026-09-14.md#task3-explicit-history-final-component), [Task3 committed source identity](pr16-history-selection-source-2026-09-14.json)","Required and open. Fresh-profile physical-PC checks cannot establish clean-OS or independent-host behavior. Other scopes have separately statused sibling rows. Focused recovery UI/native coverage does not qualify the complete offline workspace, packaged GUI, accessibility on the installed candidate, clean-OS profiles or full offline workflows.","56c050813a056fce730204472d5000e7498189b9a31dcb381ac3c26cbb02b3de","September14: only physical PC, dedicated fresh Windows test-user profiles; no VMs/ISO. Clean-OS and independent-host limitations remain open.","Deliver the complete offline desktop workspace.","Perform physical keyboard, screen-reader, renderer-plaintext, and network-disabled acceptance on both platforms.","T08","execution","required-open","windows-preview-readiness-2026-09-20.md; historical Status is retained, not promoted by component tests"
"T08-APPLE","Apple","Apple implementation/qualification portion: Deliver the complete offline desktop workspace.","docs/verification/v1-master-plan-audit.md","79","86f5f37343978351f1d0cb1e13e28ce9c91a8ffd","deferred","","","Deferred by explicit user decision; preserve existing evidence and perform no new Apple work.","","[desktop](../../apps/desktop/src/App.tsx), [offline tests](../../apps/desktop/src/offline-workflow.test.tsx), [Tasks 1–10 ledger](tasks-1-10.md)","Explicit user Apple deferral; not passed. Shared and Windows work remains in sibling rows.","56c050813a056fce730204472d5000e7498189b9a31dcb381ac3c26cbb02b3de","September14: only physical PC, dedicated fresh Windows test-user profiles; no VMs/ISO. Clean-OS and independent-host limitations remain open.","Deliver the complete offline desktop workspace.","Perform physical keyboard, screen-reader, renderer-plaintext, and network-disabled acceptance on both platforms.","T08","execution","excluded-preview","windows-preview-readiness-2026-09-20.md; historical Status is retained, not promoted by component tests"
"T09","aggregate","Isolate RuleSync/scanners and apply native changes transactionally.","docs/verification/v1-master-plan-audit.md","80","86f5f37343978351f1d0cb1e13e28ce9c91a8ffd","unknown","","","Reconcile child rows independently; original requirement and historical procedure are preserved. No aggregate pass while an applicable child is open.","","[native runner](../../crates/native-runner/src/lib.rs), [native transaction tests](../../crates/core/tests/native_transaction_v1.rs), [Tasks 1–10 ledger](tasks-1-10.md)","Historical audit status: partial; current final-source installed/hosted acceptance not established.","56c050813a056fce730204472d5000e7498189b9a31dcb381ac3c26cbb02b3de","September14: only physical PC, dedicated fresh Windows test-user profiles; no VMs/ISO. Clean-OS and independent-host limitations remain open.","Isolate RuleSync/scanners and apply native changes transactionally.","Complete deferred Task 9R and native sidecar/network/filesystem qualification on both release OSes.","","aggregate","aggregate-reconcile-children","windows-preview-readiness-2026-09-20.md; historical Status is retained, not promoted by component tests"
